2025-01-05T23:03:59.552910,AsTc,ATo,btn,40.0,call,fold,Not strong enough to raise or call. Fold.
2025-01-05T23:08:28.571504,AsKc,AKo,utg,200.0,none,raise,Open-raise with a strong or premium hand.
2025-01-06T01:09:54.450744,8s 8c,88,bb,50.0,none,call,You might limp/call with a speculative hand if table conditions allow.
2025-01-06T15:00:39.797649,Kh 8c,K8o,mp,50.0,raise,fold,Facing a raise: Hand not strong enough. Fold.
2025-01-06T15:21:25.953108,Ah Kc,AKo,btn,50.0,none,raise,Open-raise with a strong or premium hand.
2025-01-06T15:23:00.279376,Ah 4c,A4o,mp,50.0,raise,fold,Facing a raise: Hand not strong enough. Fold.
2025-01-06T15:23:53.997902,Ac 3h,A3o,mp,50.0,raise,fold,Facing a raise: Hand not strong enough. Fold.
2025-01-06T15:27:03.042151,Tc 9s,T9o,sb,50.0,raise,fold,Facing a raise: Hand not strong enough. Fold.
2025-01-06T15:27:54.998549,Ah 5c,A5o,bb,50.0,raise,fold,Facing a raise: Hand not strong enough. Fold.
2025-01-06T15:28:58.219821,9h 6h,96s,btn,50.0,call,fold,Not strong enough to raise or call. Fold.
2025-01-06T20:54:20.790829,9s 6h,96o,utg,50.0,none,fold,Not in raise/call range for your position. Fold.
